id,provenience,ancient_name,modern_name,total_occurences
33,uncertain (mod. Tell al-Lahm),uncertain,Tell al-Lahm,0
32,uncertain (mod. Tell Fakhariyah),uncertain,Tell Fakhariyah,0
31,Bit-zerija (mod. uncertain),Bit-zerija,uncertain,0
29,Surru (mod. uncertain),Surru,uncertain,0
101,uncertain (mod. Umm al-Aqarib),uncertain,Umm al-Aqarib,0
102,uncertain (mod. Tell Agrab),uncertain,Tell Agrab,0
103,Gišši (mod. uncertain),Gišši,uncertain,0
181,Alu-ša-BAD-MAH-AN (mod. uncertain),Alu-ša-BAD-MAH-AN,uncertain,0
178,Der (mod. Tell Aqar),Der,Tell Aqar,0
176,Shibaniba (mod. Tell Billa),Shibaniba,Tell Billa,0
175,Hurruba (mod. uncertain),Hurruba,uncertain,0
174,uncertain (mod. Himrin/Tell Suleimah),uncertain,Himrin/Tell Suleimah,0
173,uncertain (mod. Glai'a),uncertain,Glai'a,0
172,Malgium (mod. Tell Yassir),Malgium,Tell Yassir,0
171,Ḫattusa (mod. Boğazkale),Ḫattusa,Boğazkale,0
169,uncertain (mod. Jiroft),uncertain,Jiroft,0
168,Larsa (mod. Tell as-Senkereh),Larsa,Tell as-Senkereh,0
167,Kutalla (mod. Tell Sifr),Kutalla,Tell Sifr,0
165,Arrapha (mod. Kirkuk),Arrapha,Kirkuk,0
164,uncertain (mod. Dohuk),uncertain,Dohuk,0
162,Alalakh (mod. Tell Açana/Atshana),Alalakh,Tell Açana/Atshana,0
161,Mari (mod. Tell Hariri),Mari,Tell Hariri,0
160,Puzriš-Dagan (mod. Drehem),Puzriš-Dagan,Drehem,0
159,uncertain (mod. Jemdet Nasr),uncertain,Jemdet Nasr,0
158,uncertain (mod. Abu-Maria),uncertain,Abu-Maria,0
156,uncertain (mod. Tell Sweyhat),uncertain,Tell Sweyhat,0
155,uncertain (mod. Palmyra),uncertain,Palmyra,0
179,uncertain (mod. Amuda),uncertain,Amuda,0
182,Kapri-ša-naqidati (mod. uncertain),Kapri-ša-naqidati,uncertain,0
104,Abdju (mod. Abydos),Abdju,Abydos,0
183,uncertain (mod. Tikrit),uncertain,Tikrit,0
204,Ḫarbe (mod. Tell Chuera),Ḫarbe,Tell Chuera,0
203,Alu-ša-šuma-ukin (mod. uncertain),Alu-ša-šuma-ukin,uncertain,0
202,Harran (mod. Harran),Harran,Harran,0
201,Naḫalla (mod. uncertain),Naḫalla,uncertain,0
200,Bābili (mod. Babylon),Bābili,Babylon,0
199,uncertain (mod. Sur Jar'a),uncertain,Sur Jar'a,0
198,Tall-I Takht (mod. Pasargadae),Tall-I Takht,Pasargadae,0
197,Bit-Šaḫṭu (mod. uncertain),Bit-Šaḫṭu,uncertain,0
196,uncertain (mod. Tell es-Seeb),uncertain,Tell es-Seeb,0
194,uncertain (mod. 'Ana),uncertain,'Ana,0
193,Kazallu (mod. uncertain),Kazallu,uncertain,0
192,Maškan-šapir (mod. Tell Abu Duwari),Maškan-šapir,Tell Abu Duwari,0
190,uncertain (mod. Kuşaklı),uncertain,Kuşaklı,0
189,uncertain (mod. Kibbutz Hama-apil),uncertain,Kibbutz Hama-apil,0
188,uncertain (mod. Yasuj),uncertain,Yasuj,0
187,"uncertain (mod. Çorum, Turkey)",uncertain,"Çorum, Turkey",0
186,Šašrum (mod. uncertain),Šašrum,uncertain,0
185,Apqu-ša-Adad (mod. Tell Abu Marya),Apqu-ša-Adad,Tell Abu Marya,0
184,Kish (mod. Tell Uhaimir),Kish,Tell Uhaimir,0
154,Umma (mod. Tell Jokha),Umma,Tell Jokha,0
153,uncertain (mod. Diqdiqqah),uncertain,Diqdiqqah,0
