,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
7792,n,ne,PRON,PRON,ROOT,x,True,False
7793,a,avoir,VERB,VERB,ROOT,x,True,True
7794,b,b,ADP,ADP,advmod,x,True,False
7795,b,b,NOUN,NOUN,fixed,x,True,False
7796,a,avoir,VERB,VERB,advmod,x,True,True
7797,-ak,-ak,X,X,nsubj,-xx,False,False
7798,dans,dans,ADP,ADP,case,xxxx,True,True
7799,Ur,ur,NOUN,NOUN,obl:arg,Xx,True,False
7800,Excavations,Excavations,PROPN,PROPN,obj,Xxxxx,True,False
7801,.,.,PUNCT,PUNCT,punct,.,False,False
7802,Texts,Texts,PROPN,PROPN,ROOT,Xxxxx,True,False
7803,(,(,PUNCT,PUNCT,punct,(,False,False
7804,London,London,PROPN,PROPN,nmod,Xxxxx,True,False
7805,1928,1928,NUM,NUM,nmod,dddd,False,False
7806,ff,ff,NOUN,NOUN,nmod,xx,True,False
7807,.,.,PUNCT,PUNCT,punct,.,False,False
7808,),),PUNCT,PUNCT,ROOT,),False,False
7809,  ,  ,SPACE,SPACE,dep,  ,False,False
7810,3,3,NUM,NUM,nummod,d,False,False
7811,",",",",PUNCT,PUNCT,punct,",",False,False
7812,1118:3,1118:3,NUM,NUM,conj,dddd:d,False,False
7813,[,[,PUNCT,PUNCT,punct,[,False,False
7814,IS,i,NOUN,NOUN,dep,XX,True,False
7815,7,7,NUM,NUM,nummod,d,False,False
7816,],],PUNCT,PUNCT,punct,],False,False
7817,et,et,CCONJ,CCONJ,cc,xx,True,True
7818,1150:4,1150:4,NUM,NUM,conj,dddd:d,False,False
7819,[,[,PUNCT,PUNCT,punct,[,False,False
7820,IS,i,NOUN,NOUN,ROOT,XX,True,False
7821,7,7,NUM,NUM,nummod,d,False,False
7822,],],PUNCT,PUNCT,punct,],False,False
7823,),),PUNCT,PUNCT,punct,),False,False
7824,;,;,PUNCT,PUNCT,punct,;,False,False
7825,NT,nt,VERB,VERB,ROOT,XX,True,False
7826,m,m,VERB,VERB,acl,x,True,False
7827,u,u,ADP,ADP,case,x,True,False
7828,ri,ri,NOUN,NOUN,obl:arg,xx,True,False
7829,-,-,PROPN,PROPN,nmod,-,False,False
7830,na,na,PROPN,PROPN,nmod,xx,True,True
7831,-,-,PROPN,PROPN,nmod,-,False,False
7832,ba,ba,PROPN,PROPN,amod,xx,True,False
7833,ri,ri,NOUN,NOUN,nmod,xx,True,False
7834,-,-,PROPN,PROPN,nmod,-,False,False
7835,na,na,PROPN,PROPN,nmod,xx,True,True
7836,-,-,PROPN,PROPN,flat:name,-,False,False
7837,ba,ba,PROPN,PROPN,nmod,xx,True,False
7838,(,(,PUNCT,PUNCT,punct,(,False,False
7839,par,par,ADP,ADP,case,xxx,True,True
7840,ex,ex,PROPN,PROPN,nmod,xx,True,False
7841,.,.,PUNCT,PUNCT,punct,.,False,False
7842,see,see,PRON,PRON,nsubj,xxx,True,False
7843,CCTM,cctm,VERB,VERB,ROOT,XXXX,True,False
7844,  ,  ,SPACE,SPACE,dep,  ,False,False
7845,1,1,NUM,NUM,nummod,d,False,False
7846,",",",",PUNCT,PUNCT,punct,",",False,False
7847,25:24,25:24,PROPN,PROPN,obl:mod,dd:dd,False,False
7848,[,[,PUNCT,PUNCT,punct,[,False,False
7849,Dr.,docteur,PROPN,PROPN,obl:mod,Xx.,False,False
7850,",",",",PUNCT,PUNCT,punct,",",False,False
7851,Assyriological,Assyriological,PROPN,PROPN,conj,Xxxxx,True,False
7852,Studies,Studies,PROPN,PROPN,flat:name,Xxxxx,True,False
7853,(,(,PUNCT,PUNCT,punct,(,False,False
7854,Oriental,Oriental,PROPN,PROPN,appos,Xxxxx,True,False
7855,Institute,Institute,PROPN,PROPN,flat:name,Xxxxx,True,False
7856,",",",",PUNCT,PUNCT,punct,",",False,False
7857,Univ,Univ,PROPN,PROPN,flat:name,Xxxx,True,False
7858,.,.,PUNCT,PUNCT,punct,.,False,False
7859,of,of,ADP,ADP,dep,xx,True,False
7860,Chicago,Chicago,PROPN,PROPN,ROOT,Xxxxx,True,False
7861,),),PUNCT,PUNCT,punct,),False,False
7862,  ,  ,SPACE,SPACE,dep,  ,False,False
7863,7,7,NUM,NUM,nummod,d,False,False
7864,],],PUNCT,PUNCT,punct,],False,False
7865,et,et,CCONJ,CCONJ,cc,xx,True,True
7866,StOr,StOr,PROPN,PROPN,conj,XxXx,True,False
7867,.,.,PUNCT,PUNCT,punct,.,False,False
7868,9/1,9/1,PROPN,PROPN,nmod,d/d,False,False
7869,",",",",PUNCT,PUNCT,punct,",",False,False
7870,32,32,NUM,NUM,nmod,dd,False,False
7871,n°,numéro,NOUN,NOUN,nmod,x°,False,False
7872,27:11,27:11,NUM,NUM,amod,dd:dd,False,False
7873,[,[,PUNCT,PUNCT,punct,[,False,False
7874,Dr.,docteur,PROPN,PROPN,obl:mod,Xx.,False,False
7875,",",",",PUNCT,PUNCT,punct,",",False,False
7876,IS,IS,PROPN,PROPN,conj,XX,True,False
7877,2,2,NUM,NUM,nummod,d,False,False
7878,],],PUNCT,PUNCT,punct,],False,False
7879,),),PUNCT,PUNCT,punct,),False,False
7880,",",",",PUNCT,PUNCT,punct,",",False,False
7881,la,le,DET,DET,det,xx,True,True
7882,gr,gr,PROPN,PROPN,ROOT,xx,True,False
7883,.,.,PUNCT,PUNCT,punct,.,False,False
7884,de,de,ADP,ADP,case,xx,True,True
7885,Drehem,Drehem,PROPN,PROPN,ROOT,Xxxxx,True,False
7886,",",",",PUNCT,PUNCT,punct,",",False,False
7887,correspondant,correspondre,VERB,VERB,acl,xxxx,True,False
